Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Family
44,5.5,4.2,1.4,0.2,Iris-setosa,Iris
45,5.5,3.5,1.3,0.2,Iris-setosa,Iris
46,5.7,4.4,1.5,0.4,Iris-setosa,Iris
47,5.7,3.8,1.7,0.3,Iris-setosa,Iris
48,5.8,4,1.2,0.2,Iris-setosa,Iris
49,4.9,2.4,3.3,1,Iris-versicolor,Iris
50,5,2,3.5,1,Iris-versicolor,Iris
51,5,2.3,3.3,1,Iris-versicolor,Iris
52,5.1,2.5,3,1.1,Iris-versicolor,Iris
53,5.2,2.7,3.9,1.4,Iris-versicolor,Iris
54,5.4,3,4.5,1.5,Iris-versicolor,Iris
55,5.5,2.3,4,1.3,Iris-versicolor,Iris
56,5.5,2.4,3.8,1.1,Iris-versicolor,Iris
57,5.5,2.4,3.7,1,Iris-versicolor,Iris
58,5.5,2.5,4,1.3,Iris-versicolor,Iris
59,5.5,2.6,4.4,1.2,Iris-versicolor,Iris
60,5.6,2.9,3.6,1.3,Iris-versicolor,Iris
61,5.6,3,4.5,1.5,Iris-versicolor,Iris
62,5.6,2.5,3.9,1.1,Iris-versicolor,Iris
63,5.6,3,4.1,1.3,Iris-versicolor,Iris
64,5.6,2.7,4.2,1.3,Iris-versicolor,Iris
65,5.7,2.8,4.5,1.3,Iris-versicolor,Iris
66,5.7,2.6,3.5,1,Iris-versicolor,Iris
67,5.7,3,4.2,1.2,Iris-versicolor,Iris
68,5.7,2.9,4.2,1.3,Iris-versicolor,Iris
69,5.7,2.8,4.1,1.3,Iris-versicolor,Iris
70,5.8,2.7,4.1,1,Iris-versicolor,Iris
71,5.8,2.7,3.9,1.2,Iris-versicolor,Iris
72,5.8,2.6,4,1.2,Iris-versicolor,Iris
73,5.9,3,4.2,1.5,Iris-versicolor,Iris
74,5.9,3.2,4.8,1.8,Iris-versicolor,Iris
75,6,2.2,4,1,Iris-versicolor,Iris
76,6,2.9,4.5,1.5,Iris-versicolor,Iris
77,6,2.7,5.1,1.6,Iris-versicolor,Iris
78,6,3.4,4.5,1.6,Iris-versicolor,Iris
79,6.1,2.9,4.7,1.4,Iris-versicolor,Iris
80,6.1,2.8,4,1.3,Iris-versicolor,Iris
81,6.1,2.8,4.7,1.2,Iris-versicolor,Iris
82,6.1,3,4.6,1.4,Iris-versicolor,Iris
83,6.2,2.2,4.5,1.5,Iris-versicolor,Iris
84,6.2,2.9,4.3,1.3,Iris-versicolor,Iris
85,6.3,3.3,4.7,1.6,Iris-versicolor,Iris
86,6.3,2.5,4.9,1.5,Iris-versicolor,Iris
87,6.3,2.3,4.4,1.3,Iris-versicolor,Iris
88,6.4,3.2,4.5,1.5,Iris-versicolor,Iris
89,6.4,2.9,4.3,1.3,Iris-versicolor,Iris
90,6.5,2.8,4.6,1.5,Iris-versicolor,Iris
91,6.6,2.9,4.6,1.3,Iris-versicolor,Iris
92,6.6,3,4.4,1.4,Iris-versicolor,Iris
93,6.7,3.1,4.4,1.4,Iris-versicolor,Iris
94,6.7,3,5,1.7,Iris-versicolor,Iris
95,6.7,3.1,4.7,1.5,Iris-versicolor,Iris
96,6.8,2.8,4.8,1.4,Iris-versicolor,Iris
97,6.9,3.1,4.9,1.5,Iris-versicolor,Iris
98,7,3.2,4.7,1.4,Iris-versicolor,Iris
99,4.9,2.5,4.5,1.7,Iris-virginica,Iris
100,5.6,2.8,4.9,2,Iris-virginica,Iris
101,5.7,2.5,5,2,Iris-virginica,Iris
102,5.8,2.7,5.1,1.9,Iris-virginica,Iris
103,5.8,2.8,5.1,2.4,Iris-virginica,Iris
104,5.9,3,5.1,1.8,Iris-virginica,Iris
105,6,2.2,5,1.5,Iris-virginica,Iris
106,6,3,4.8,1.8,Iris-virginica,Iris
107,6.1,3,4.9,1.8,Iris-virginica,Iris
108,6.1,2.6,5.6,1.4,Iris-virginica,Iris
109,6.2,2.8,4.8,1.8,Iris-virginica,Iris
110,6.2,3.4,5.4,2.3,Iris-virginica,Iris
111,6.3,3.3,6,2.5,Iris-virginica,Iris
112,6.3,2.9,5.6,1.8,Iris-virginica,Iris
113,6.3,2.7,4.9,1.8,Iris-virginica,Iris
114,6.3,2.8,5.1,1.5,Iris-virginica,Iris
115,6.3,3.4,5.6,2.4,Iris-virginica,Iris
116,6.3,2.5,5,1.9,Iris-virginica,Iris
117,6.4,2.7,5.3,1.9,Iris-virginica,Iris
118,6.4,3.2,5.3,2.3,Iris-virginica,Iris
119,6.4,2.8,5.6,2.1,Iris-virginica,Iris
120,6.4,2.8,5.6,2.2,Iris-virginica,Iris
121,6.4,3.1,5.5,1.8,Iris-virginica,Iris
122,6.5,3,5.8,2.2,Iris-virginica,Iris
123,6.5,3.2,5.1,2,Iris-virginica,Iris
124,6.5,3,5.5,1.8,Iris-virginica,Iris
125,6.5,3,5.2,2,Iris-virginica,Iris
126,6.7,2.5,5.8,1.8,Iris-virginica,Iris
127,6.7,3.3,5.7,2.1,Iris-virginica,Iris
128,6.7,3.1,5.6,2.4,Iris-virginica,Iris
129,6.7,3.3,5.7,2.5,Iris-virginica,Iris
130,6.7,3,5.2,2.3,Iris-virginica,Iris
131,6.8,3,5.5,2.1,Iris-virginica,Iris
132,6.8,3.2,5.9,2.3,Iris-virginica,Iris
133,6.9,3.2,5.7,2.3,Iris-virginica,Iris
134,6.9,3.1,5.4,2.1,Iris-virginica,Iris
135,6.9,3.1,5.1,2.3,Iris-virginica,Iris
136,7.1,3,5.9,2.1,Iris-virginica,Iris
137,7.2,3.6,6.1,2.5,Iris-virginica,Iris
138,7.2,3.2,6,1.8,Iris-virginica,Iris
139,7.2,3,5.8,1.6,Iris-virginica,Iris
140,7.3,2.9,6.3,1.8,Iris-virginica,Iris
141,7.4,2.8,6.1,1.9,Iris-virginica,Iris
142,7.6,3,6.6,2.1,Iris-virginica,Iris
143,7.7,3.8,6.7,2.2,Iris-virginica,Iris
144,7.7,2.6,6.9,2.3,Iris-virginica,Iris
145,7.7,2.8,6.7,2,Iris-virginica,Iris
146,7.7,3,6.1,2.3,Iris-virginica,Iris
147,7.9,3.8,6.4,2,Iris-virginica,Iris
148,4.8,2.6,4.2,1.3,lily_asiatic,lily
149,4.9,2.9,4.4,1.5,lily_asiatic,lily
150,5,3.1,4.6,1.6,lily_asiatic,lily
151,5,2.8,4.5,1.5,lily_asiatic,lily
152,5.1,3.2,4.8,1.6,lily_asiatic,lily
153,5.1,2.7,4.6,1.4,lily_asiatic,lily
154,5.2,2.7,4.7,1.4,lily_asiatic,lily
155,5.2,2.9,4.8,1.6,lily_asiatic,lily
156,5.2,2.8,4.7,1.5,lily_asiatic,lily
157,5.3,2.8,4.9,1.7,lily_asiatic,lily
158,5.3,3,5,1.7,lily_asiatic,lily
159,5.3,3,4.9,1.7,lily_asiatic,lily
160,5.4,3,5.2,1.8,lily_asiatic,lily
161,5.4,3.4,5.1,1.9,lily_asiatic,lily
162,5.4,3.2,5.2,1.8,lily_asiatic,lily
163,5.4,3.1,5.1,1.8,lily_asiatic,lily
164,5.5,3,5.3,1.8,lily_asiatic,lily
165,5.5,2.9,5.2,1.7,lily_asiatic,lily
166,5.6,3.3,5.5,1.9,lily_asiatic,lily
167,5.6,3.1,5.4,1.8,lily_asiatic,lily
168,5.7,3.2,5.7,1.9,lily_asiatic,lily
169,5.7,3.4,5.6,1.9,lily_asiatic,lily
170,5.8,3.5,5.6,2,lily_asiatic,lily
171,5.8,3.2,5.8,2,lily_asiatic,lily
172,5.8,3.1,5.7,1.9,lily_asiatic,lily
173,5.9,3.4,6,2,lily_asiatic,lily
174,5.9,3.3,5.9,2,lily_asiatic,lily
175,5.9,3.6,6,2,lily_asiatic,lily
176,6,3.1,6.1,2.1,lily_asiatic,lily
177,6,3.5,6.2,2.1,lily_asiatic,lily
178,6,3.4,6.1,2.1,lily_asiatic,lily
179,6,3.6,6.1,2.1,lily_asiatic,lily
180,6.1,3.7,6.4,2.2,lily_asiatic,lily
181,6.1,3.6,6.3,2.1,lily_asiatic,lily
182,6.1,3.5,6.2,2.1,lily_asiatic,lily
183,6.2,3.6,6.3,2.2,lily_asiatic,lily
184,6.2,3.5,6.4,2.2,lily_asiatic,lily
185,6.2,3.7,6.4,2.2,lily_asiatic,lily
186,6.3,3.8,6.5,2.1,lily_asiatic,lily
187,6.3,3.7,6.5,2.2,lily_asiatic,lily
188,6.4,3.7,6.6,2.2,lily_asiatic,lily
189,6.1,3.3,6.8,2.3,lily_oriental,lily
190,6.2,3.4,6.9,2.4,lily_oriental,lily
191,6.2,3.3,6.9,2.3,lily_oriental,lily
192,6.3,3.4,7,2.4,lily_oriental,lily
193,6.4,3.5,7.1,2.5,lily_oriental,lily
194,6.4,3.5,7.2,2.5,lily_oriental,lily
195,6.5,3.6,7.2,2.6,lily_oriental,lily
196,6.5,3.6,7.3,2.6,lily_oriental,lily
197,6.6,3.6,7.4,2.7,lily_oriental,lily
198,6.7,3.7,7.5,2.8,lily_oriental,lily
199,6.7,3.8,7.5,2.8,lily_oriental,lily
200,6.8,3.8,7.8,2.9,lily_oriental,lily
201,6.8,3.7,7.6,2.8,lily_oriental,lily
202,6.8,3.7,7.7,2.9,lily_oriental,lily
203,6.9,3.7,7.6,2.8,lily_oriental,lily
204,6.9,3.8,7.7,2.9,lily_oriental,lily
205,6.9,3.8,7.8,2.9,lily_oriental,lily
206,7,3.9,8,3,lily_oriental,lily
207,7,4,8,3,lily_oriental,lily
208,7,4,8.1,3,lily_oriental,lily
209,7.1,4,8.2,3.1,lily_oriental,lily
210,7.1,3.9,8.1,3,lily_oriental,lily
211,7.1,3.9,8.2,3,lily_oriental,lily
212,7.2,4,8.3,3.1,lily_oriental,lily
213,7.2,4.1,8.3,3.1,lily_oriental,lily
214,7.3,4.1,8.4,3.2,lily_oriental,lily
215,7.4,4.1,8.5,3.2,lily_oriental,lily
216,7.4,4.2,8.6,3.2,lily_oriental,lily
217,7.4,4.2,8.5,3.2,lily_oriental,lily
218,7.5,4.2,8.7,3.3,lily_oriental,lily
219,7.5,4.3,8.7,3.3,lily_oriental,lily
220,7.6,4.3,8.9,3.4,lily_oriental,lily
221,7.6,4.2,8.8,3.3,lily_oriental,lily
222,7.6,4.3,8.8,3.4,lily_oriental,lily
223,7.7,4.4,8.9,3.4,lily_oriental,lily
224,7.8,4.4,9,3.5,lily_oriental,lily
225,7.9,4.5,9.1,3.5,lily_oriental,lily
226,6.6,3.4,7.1,2.6,lily_oriental,lily
227,6.7,3.5,7.3,2.7,lily_oriental,lily
228,6.8,3.6,7.4,2.8,lily_oriental,lily
229,6.9,3.6,7.6,2.8,lily_oriental,lily
230,7,3.7,7.8,2.9,lily_oriental,lily
231,7.1,3.8,8,3,lily_oriental,lily
232,7.2,3.9,8.1,3.1,lily_oriental,lily
233,7.3,4,8.2,3.1,lily_oriental,lily
234,5.8,3,5.9,2,lily_asiatic,lily
235,5.9,3.1,6,2.1,lily_asiatic,lily
236,6,3,6.1,2.1,lily_asiatic,lily
237,6.1,3.2,6.2,2.2,lily_asiatic,lily
238,6.1,3.1,6.3,2.2,lily_asiatic,lily
239,6.2,3.2,6.4,2.3,lily_asiatic,lily
240,6.3,3.3,6.5,2.3,lily_asiatic,lily
241,6.3,3.2,6.6,2.4,lily_asiatic,lily
242,6.4,3.3,6.6,2.4,lily_asiatic,lily
243,6.5,3.4,6.7,2.5,lily_asiatic,lily
244,6.5,3.4,6.8,2.5,lily_asiatic,lily
245,6.6,3.5,6.9,2.6,lily_asiatic,lily
246,6.6,3.4,7,2.6,lily_asiatic,lily
